,Name,Contributions,CommitEvent,Additions,Deletions,Languages,FirstDataActivity,LastDataActivity,CommitCommentEvent,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,ReleaseEvent,IssuesEvent,CreateIssueEvent,PermissionRole
Trott,Rich Trott,3124,6,7053,13819,"['', 'Markdown']",2024-01-22 21:31:08+00:00,2024-05-16 00:42:29+00:00,0,20,8,0,0,0,51,0,2
bnoordhuis,Ben Noordhuis,2289,1,162,8,"['', 'JavaScript']",2024-03-13 10:44:33+00:00,2024-05-20 01:11:05+00:00,0,3,0,0,0,0,160,0,1
addaleax,Anna Henningsen,1591,2,22,0,"['', 'C++', 'Markdown']",2024-01-22 19:58:37+00:00,2024-05-20 01:11:05+00:00,0,4,2,0,0,0,126,1,2
targos,Michaël Zasso,1120,90,558566,130719,"['', 'YAML', 'JSON', 'GYP', 'C++', 'C', 'Shell', 'JavaScript', 'Markdown', 'Python']",2024-01-02 10:41:12+00:00,2024-05-20 13:05:21+00:00,0,517,43,4,2,3,1362,11,3
cjihrig,Colin Ihrig,1104,28,2733,511,"['', 'JavaScript', 'Markdown']",2024-02-09 04:37:58+00:00,2024-05-20 11:52:58+00:00,0,88,26,0,0,0,244,3,2
jasnell,James M Snell,973,3,3375,1403,"['', 'Markdown', 'Python']",2024-01-02 21:39:35+00:00,2024-05-20 08:17:39+00:00,0,33,4,1,0,0,322,3,3
joyeecheung,Joyee Cheung,931,67,9194,2316,"['', 'GYP', 'C++', 'C', 'JavaScript', 'Markdown', 'Python']",2024-01-02 19:49:23+00:00,2024-05-20 11:17:58+00:00,0,376,49,2,1,0,447,11,2
tniessen,Tobias Nießen,688,16,453,73,"['', 'C++', 'C', 'JavaScript', 'Markdown']",2024-01-03 12:13:47+00:00,2024-05-20 11:55:01+00:00,0,88,14,1,1,0,310,2,3
aduh95,Antoine du Hamel,651,25,1335,588,"['', 'YAML', 'Shell', 'JavaScript', 'Markdown']",2024-01-01 15:06:49+00:00,2024-05-20 13:05:20+00:00,0,442,31,8,5,0,1229,9,3
mhdawson,Michael Dawson,363,18,399,77,"['', 'C', 'C++', 'JavaScript', 'Markdown', 'Python']",2024-01-02 22:23:22+00:00,2024-05-20 04:11:38+00:00,0,149,20,0,0,0,337,10,2
richardlau,Richard Lau,324,16,1114,128,"['', 'YAML', 'GYP', 'C++', 'Shell', 'JavaScript', 'Markdown']",2024-01-05 14:21:17+00:00,2024-05-20 13:00:39+00:00,1,216,17,2,0,2,1588,2,3
ronag,Robert Nagy,320,1,34,19,"['', 'JavaScript']",2024-01-14 13:21:19+00:00,2024-05-20 13:05:10+00:00,1,69,8,0,0,0,154,6,2
lpinca,Luigi Pinca,286,15,83,86,"['', 'JavaScript', 'Markdown']",2024-01-02 17:28:33+00:00,2024-05-19 04:46:21+00:00,0,87,18,0,0,0,131,1,3
anonrig,Yagiz Nizipli,218,21,3952,1404,"['', 'YAML', 'C', 'C++', 'JavaScript', 'Markdown', 'Python']",2024-01-02 21:14:38+00:00,2024-05-20 13:06:57+00:00,0,163,38,4,0,0,711,10,3
RafaelGSS,Rafael Gonzaga,196,37,1868,6340,"['', 'YAML', 'C++', 'JavaScript', 'Markdown']",2024-01-02 18:08:53+00:00,2024-05-20 07:04:47+00:00,0,91,29,3,1,13,637,2,3
panva,Filip Skokan,182,6,221,170,"['', 'JavaScript', 'C++', 'Markdown']",2024-01-05 15:17:29+00:00,2024-05-20 08:54:55+00:00,1,32,8,2,0,0,158,0,2
legendecas,Chengzhong Wu,175,10,461,381,"['', 'GYP', 'C++', 'JavaScript', 'Markdown']",2024-01-02 09:46:26+00:00,2024-05-20 13:13:40+00:00,0,51,13,0,0,0,236,4,2
mcollina,Matteo Collina,161,7,341,258,"['', 'Shell', 'JavaScript']",2024-01-01 19:55:41+00:00,2024-05-20 13:13:40+00:00,0,229,6,1,0,0,418,6,3
MoLow,Moshe Atlow,151,16,1754,391,"['', 'JavaScript', 'Markdown']",2024-01-02 19:39:27+00:00,2024-05-20 07:08:29+00:00,0,192,21,1,0,0,445,4,3
gabrielschulhof,Gabriel Schulhof,150,4,16,26,"['', 'C++', 'Markdown', 'Python']",2024-01-10 04:08:27+00:00,2024-05-17 16:17:00+00:00,0,12,4,0,0,0,32,1,2
devsnek,snek,123,1,85,7,"['', 'Markdown']",2024-01-12 16:09:48+00:00,2024-05-19 20:49:02+00:00,0,4,0,0,0,0,64,0,1
marco-ippolito,Marco Ippolito,123,46,1489,1381,"['', 'YAML', 'C++', 'Shell', 'JavaScript', 'Markdown', 'Groff']",2024-01-04 11:42:13+00:00,2024-05-20 05:59:18+00:00,0,206,35,1,0,2,1520,2,3
santigimeno,Santiago Gimeno,119,1,1141,270,[''],2024-01-09 10:24:44+00:00,2024-05-20 10:04:10+00:00,0,10,5,0,0,0,30,0,2
benjamingr,Benjamin Gruenbaum,110,1,3,1,"['', 'Markdown']",2024-01-01 19:25:10+00:00,2024-05-20 08:17:39+00:00,0,142,1,1,0,0,251,1,3
codebytere,Shelley Vohr,110,4,30,14,"['', 'JSON', 'C', 'C++']",2024-01-01 13:53:30+00:00,2024-05-20 01:11:05+00:00,0,5,3,0,0,0,61,1,1
LiviaMedeiros,Livia Medeiros,103,1,56,43,"['', 'Markdown']",2024-01-01 15:38:16+00:00,2024-05-20 01:11:05+00:00,0,17,2,0,0,0,37,2,3
deokjinkim,Deokjin Kim,101,4,16,15,"['', 'JavaScript', 'Markdown']",2024-02-03 10:35:25+00:00,2024-05-17 23:22:20+00:00,0,2,4,0,0,0,34,0,2
mmarchini,mary marchini,101,2,238,29,"['', 'Markdown']",2024-02-23 22:46:29+00:00,2024-05-11 18:41:51+00:00,0,0,1,0,0,0,0,0,0
